c_abasava.tga e_empire0009.tga
c_ehamaut.tga c_province0468.tga
c_eharuslo.tga c_province0500.tga
c_ehawatta.tga d_duchy0501.tga
c_ehawemir.tga c_province0469.tga
c_ehimoa.tga c_province0501.tga
c_ehine.tga d_duchy0529.tga
c_ehjeth.tga c_province0509.tga
c_ehjualis.tga c_province0561.tga
c_ehyer.tga c_province0529.tga
c_ehyhan.tga d_duchy0524.tga
c_eilohan.tga c_province0522.tga
c_eita.tga c_province0545.tga
c_eiunes.tga c_province0524.tga
c_ejacuma.tga k_kingdom0513.tga
c_ejaralp.tga d_duchy0463.tga
c_ejawandi.tga c_province0462.tga
c_ejawasia.tga c_province0463.tga
c_ejayaman.tga d_duchy0499.tga
c_ejayast.tga c_province0491.tga
c_ejesine.tga c_province0521.tga
c_ejhapa.tga c_province0499.tga
c_ejofinio.tga d_duchy0503.tga
c_ejosari.tga c_province0477.tga
c_ejosayya.tga c_province0519.tga
c_ejosirai.tga c_province0503.tga
c_ejudolas.tga d_duchy0567.tga
c_ekajan.tga c_province0537.tga
c_ekamacob.tga c_province0566.tga
c_ekamucha.tga c_province0567.tga
c_ekanavid.tga d_duchy0513.tga
c_ekarandi.tga c_province0494.tga
c_ekarasad.tga c_province0539.tga
c_ekarille.tga c_province0513.tga
c_ekayada.tga e_european_union.tga
c_ekega.tga k_kingdom0480.tga
c_ekehah.tga d_duchy0456.tga
c_ekelelme.tga c_province0452.tga
c_ekepi.tga c_province0460.tga
c_eketani.tga c_province0456.tga
c_eketul.tga d_duchy0479.tga
c_ekiraja.tga c_province0475.tga
c_ekirit.tga c_london.tga
c_ekloger.tga c_province0479.tga
c_ekovke.tga d_duchy0480.tga
c_ekue.tga c_province0474.tga
c_ekumasia.tga c_province0488.tga
c_ekunatok.tga c_province0480.tga
c_elamatha.tga k_kingdom0506.tga
c_elana.tga d_duchy0464.tga
c_elastu.tga c_province0445.tga
c_elaxying.tga c_province0461.tga
c_eleahpen.tga c_province0483.tga
c_eledrig.tga c_province0464.tga
c_elekyula.tga d_duchy0506.tga
c_elella.tga c_barcelona.tga
c_elerhi.tga c_province0505.tga
c_eleth.tga c_province0518.tga
c_elibi.tga c_province0506.tga
c_elided.tga k_kingdom0599.tga
c_eligugei.tga d_duchy0599.tga
c_elijah.tga c_province0599.tga
c_elikusa.tga k_kingdom0635.tga
c_elilda.tga d_duchy0624.tga
c_eljumay.tga c_province0607.tga
c_elordan.tga c_province0624.tga
c_eloreter.tga d_duchy0635.tga
c_elubuke.tga c_province0618.tga
c_elucaham.tga c_province0635.tga
c_eludedek.tga k_western_europe.tga
c_eludeter.tga d_france.tga
c_elund.tga c_province0472.tga
c_elupim.tga c_province0493.tga
c_elupuyan.tga c_netherlands.tga
c_elura.tga c_france.tga
c_eluvje.tga d_duchy0558.tga
c_em.tga c_province0535.tga
c_emaba.tga c_province0559.tga
c_emaheran.tga c_province0581.tga
c_emahork.tga c_province0558.tga
c_emanomon.tga d_duchy0596.tga
c_emarata.tga c_province0582.tga
c_emareek.tga c_province0596.tga
c_emaret.tga d_duchy0530.tga
c_emarund.tga c_berlin.tga
c_emasampa.tga c_province0530.tga
c_emawud.tga e_empire0531.tga
c_emayorhi.tga k_kingdom0531.tga
c_emegobos.tga d_duchy0531.tga
c_emeleila.tga c_province0531.tga
c_emisibor.tga e_empire0560.tga
c_emiwan.tga k_kingdom0507.tga
c_emolun.tga d_duchy0425.tga
c_emubirai.tga c_province0412.tga
c_emubork.tga c_province0442.tga
c_emufilu.tga c_province0425.tga
c_emumaret.tga d_duchy0476.tga
c_emunes.tga c_province0457.tga
c_enahar.tga c_province0476.tga
c_enarim.tga d_duchy0507.tga
c_enarying.tga c_province0487.tga
c_enasata.tga c_province0523.tga
c_enduo.tga c_province0507.tga
c_eneetana.tga k_kingdom0560.tga
c_enegira.tga d_duchy0544.tga
c_enenla.tga c_province0512.tga
c_enim.tga c_province0544.tga
c_eninivi.tga d_duchy0560.tga
c_eninutic.tga c_province0536.tga
c_ennanca.tga c_province0538.tga
c_enomamm.tga c_province0571.tga
c_enunir.tga c_province0560.tga
c_enyea.tga e_empire0604.tga
c_enyuns.tga k_rome.tga
c_epamalka.tga d_duchy0548.tga
c_epawud.tga c_province0546.tga
c_epedula.tga c_province0548.tga
c_epeterhi.tga d_duchy0577.tga
c_epichar.tga c_province0554.tga
c_epokatok.tga c_province0574.tga
c_eponara.tga c_province0583.tga
c_eposeru.tga c_province0584.tga
c_epuhine.tga c_province0577.tga
c_eradogna.tga d_duchy0594.tga
c_eradoj.tga c_province0591.tga
c_eragahad.tga c_province0597.tga
c_erajahar.tga c_province0594.tga
c_erajeth.tga d_duchy0600.tga
c_erakr.tga c_province0593.tga
c_eralajan.tga c_province0600.tga
c_eralita.tga d_rome.tga
c_eramyula.tga c_province0575.tga
c_eranann.tga c_rome.tga
c_eranius.tga k_kingdom0580.tga
c_eranura.tga d_duchy0526.tga
c_erefeni.tga c_province0516.tga
c_ereka.tga c_province0555.tga
c_ererdeg.tga c_province0526.tga
c_ericemma.tga d_duchy0595.tga
c_eriobn.tga c_province0585.tga
c_ermas.tga c_province0598.tga
c_eroeler.tga c_province0595.tga
c_erogoljo.tga d_duchy0580.tga
c_erowen.tga c_province0556.tga
c_erua.tga c_province0580.tga
c_esadeir.tga k_kingdom0601.tga
c_esaideva.tga d_duchy0572.tga
c_esainena.tga c_province0549.tga
c_esaka.tga c_province0562.tga
c_esaloriy.tga c_province0576.tga
c_esamaham.tga c_province0588.tga
c_esamahat.tga c_province0572.tga
c_esamin.tga d_duchy0603.tga
c_esanard.tga c_province0592.tga
c_esanaug.tga c_province0603.tga
c_esateis.tga d_duchy0620.tga
c_escovit.tga c_province0609.tga
c_esee.tga c_province0627.tga
c_eseir.tga c_province0620.tga
c_esir.tga d_duchy0601.tga
c_esiruall.tga c_province0586.tga
c_eskeir.tga c_province0605.tga
c_eskeram.tga c_province0601.tga
c_esohunno.tga k_kingdom0622.tga
c_esomeir.tga d_duchy0616.tga
c_estahal.tga c_province0610.tga
c_estelen.tga c_province0619.tga
c_esuduju.tga c_province0616.tga
c_esumaud.tga d_alexandria.tga
c_esumua.tga c_province0611.tga
c_esumura.tga c_alexandria.tga
c_esuvund.tga d_duchy0638.tga
c_esvasia.tga c_province0632.tga
c_esviat.tga c_province0653.tga
c_etamarya.tga c_province0654.tga
c_etaminde.tga c_province0655.tga
c_etanila.tga c_province0638.tga
c_etarin.tga d_cairo.tga
c_etatanna.tga c_province0631.tga
c_etekint.tga c_jerusalem.tga
c_etena.tga c_cairo.tga
c_eterara.tga d_duchy0622.tga
c_eterisa.tga c_province0614.tga
c_eteula.tga c_province0636.tga
c_ethotte.tga c_province0622.tga
c_etibegin.tga k_kingdom0645.tga
c_etiska.tga d_duchy0615.tga
c_etocic.tga c_province0608.tga
c_etoda.tga c_province0615.tga
c_etolinda.tga d_duchy0625.tga
c_etoyau.tga c_province0617.tga
c_etrald.tga c_province0625.tga
c_etrayaad.tga d_duchy0666.tga
c_etsarde.tga c_province0660.tga
c_etselo.tga c_province0690.tga
c_etubirek.tga c_province0666.tga
c_etubyula.tga d_duchy0702.tga
c_etulun.tga c_province0683.tga
c_etutodia.tga c_province0725.tga
c_evaleek.tga c_province0733.tga
c_evali.tga c_province0747.tga
c_evasora.tga c_province0702.tga
c_eviacall.tga d_duchy0736.tga
c_evimadiq.tga c_province0706.tga
c_evleorge.tga c_province0756.tga
c_evonno.tga c_province0736.tga
c_evyet.tga d_duchy0777.tga
c_ewalajit.tga c_province0771.tga
c_ezakeas.tga c_province0774.tga
c_ezakille.tga c_province0777.tga
c_ezantay.tga d_duchy0645.tga
c_ezeleva.tga c_province0628.tga
c_ezunania.tga c_province0667.tga
c_kaararan.tga c_province0645.tga
c_kaatun.tga k_kingdom0704.tga
c_kaba.tga d_duchy0675.tga
c_kabam.tga c_tehran.tga
c_kabar.tga c_province0676.tga
c_kabdele.tga c_province0691.tga
c_kabdenia.tga c_province0675.tga
c_kabdewal.tga d_mecca.tga
c_kabdoras.tga c_province0671.tga
c_kabipa.tga c_province0710.tga
c_kabiram.tga c_mecca.tga
c_kaboshi.tga d_duchy0700.tga
c_kabyan.tga c_province0681.tga
c_kadailo.tga c_province0707.tga
c_kadald.tga c_province0700.tga
c_kadato.tga d_duchy0739.tga
c_kaday.tga c_province0729.tga
c_kadeas.tga c_province0755.tga
c_kadecca.tga c_province0739.tga
c_kadeliel.tga d_duchy0743.tga
c_kadicha.tga c_province0728.tga
c_kadocic.tga c_province0731.tga
c_kadory.tga c_province0752.tga
c_kagessa.tga c_province0768.tga
c_kagina.tga c_province0743.tga
c_kagins.tga d_duchy0764.tga
c_kagnus.tga c_province0746.tga
c_kagoa.tga c_province0764.tga
c_kagora.tga d_duchy0704.tga
c_kahadro.tga c_province0680.tga
c_kaham.tga c_province0704.tga
c_kahara.tga k_istanbul.tga
c_kahefia.tga d_istanbul.tga
c_kahefiy.tga c_istanbul.tga
c_kaheger.tga e_empire0711.tga
c_kahele.tga k_kingdom0711.tga
c_kaheran.tga d_duchy0711.tga
c_kahiek.tga c_province0711.tga
c_kahila.tga e_empire0717.tga
c_kahimha.tga k_kingdom0570.tga
c_kahiye.tga d_duchy0534.tga
c_kahnou.tga c_province0520.tga
c_kahory.tga c_province0552.tga
c_kahoste.tga c_province0564.tga
c_kaicibor.tga c_province0534.tga
c_kaikinai.tga d_duchy0563.tga
c_kaimaac.tga c_province0547.tga
c_kaiti.tga c_province0563.tga
c_kajan.tga d_duchy0570.tga
c_kajella.tga c_province0557.tga
c_kajille.tga c_province0578.tga
c_kajit.tga c_province0587.tga
c_kaka.tga c_province0570.tga
c_kakanka.tga k_kingdom0621.tga
c_kakaret.tga d_duchy0590.tga
c_kakim.tga c_moscow.tga
c_kakins.tga c_province0602.tga
c_kakiraja.tga c_province0606.tga
c_kakovit.tga c_province0590.tga
c_kakstu.tga d_duchy0633.tga
c_kalaf.tga c_province0613.tga
c_kalaud.tga c_province0650.tga
c_kaleuta.tga c_province0662.tga
c_kalias.tga c_province0633.tga
c_kalihan.tga d_duchy0621.tga
c_kalius.tga c_province0612.tga
c_kalka.tga c_province0626.tga
c_kalric.tga c_province0621.tga
c_kaluke.tga k_kingdom0634.tga
c_kaluna.tga d_duchy0634.tga
c_kaluo.tga c_province0634.tga
c_kaluzniq.tga k_kingdom0665.tga
c_kama.tga d_duchy0646.tga
c_kamaam.tga c_province0644.tga
c_kamald.tga c_province0646.tga
c_kamali.tga d_duchy0672.tga
c_kamapa.tga c_province0652.tga
c_kamara.tga c_province0682.tga
c_kamawud.tga c_province0672.tga
c_kamaya.tga d_duchy0699.tga
c_kamernat.tga c_province0696.tga
c_kameuba.tga c_province0730.tga
c_kamijah.tga c_province0699.tga
c_kamilay.tga d_duchy0665.tga
c_kamipac.tga c_province0639.tga
c_kamitya.tga c_province0665.tga
c_kamoger.tga k_kingdom0715.tga
c_kamold.tga d_duchy0670.tga
c_kamoses.tga c_province0641.tga
c_kamote.tga c_province0670.tga
c_kamsam.tga d_duchy0678.tga
c_kamudan.tga c_province0658.tga
c_kamutlu.tga c_province0703.tga
c_kamyula.tga c_province0678.tga
c_kanaba.tga d_duchy0694.tga
c_kanain.tga c_province0661.tga
c_kanajan.tga c_province0693.tga
c_kanakra.tga c_province0695.tga
c_kanandi.tga c_province0712.tga
c_kanar.tga c_province0694.tga
c_kanari.tga d_duchy0785.tga
c_kanarie.tga c_province0748.tga
c_kanatun.tga c_province0785.tga
c_kanaud.tga d_duchy0715.tga
c_kanavid.tga c_province0709.tga
c_kanazja.tga c_province0737.tga
c_kanemir.tga c_province0715.tga
c_kani.tga k_kingdom0797.tga
c_kanine.tga d_duchy0772.tga
c_kanisam.tga c_province0753.tga
c_kanoda.tga c_province0758.tga
c_kantay.tga c_province0789.tga
c_kanuna.tga c_province0772.tga
c_kanutar.tga d_duchy0775.tga
c_kanyula.tga c_province0745.tga
c_kaoji.tga c_province0775.tga
c_kapakk.tga d_duchy0793.tga
c_kara.tga c_province0779.tga
c_karabai.tga c_province0798.tga
c_karacob.tga c_province0809.tga
c_karadiq.tga c_province0814.tga
c_karahar.tga c_province0793.tga
c_karala.tga d_duchy0815.tga
c_kararia.tga c_province0799.tga
c_kararos.tga c_province0815.tga
c_karasia.tga d_duchy0823.tga
c_karassa.tga c_province0811.tga
c_karaud.tga c_province0830.tga
c_karaya.tga c_province0823.tga
c_kareba.tga d_duchy0839.tga
c_kareda.tga c_province0822.tga
c_kareer.tga c_province0826.tga
c_karega.tga c_province0847.tga
c_kareuta.tga c_province0852.tga
c_karevoj.tga c_province0839.tga
c_karia.tga d_duchy0844.tga
c_karicta.tga c_province0841.tga
c_kariero.tga c_province0844.tga
c_karippa.tga d_duchy0865.tga
c_karisa.tga c_province0843.tga
c_karius.tga c_tokyo.tga
c_karoda.tga c_province0865.tga
c_karogs.tga d_duchy0797.tga
c_karolad.tga c_province0795.tga
c_karomir.tga c_province0820.tga
c_karork.tga c_province0797.tga
c_karuci.tga k_kingdom0816.tga
c_karuigi.tga d_duchy0816.tga
c_karuin.tga c_province0794.tga
c_karuliu.tga c_everest.tga
c_karuo.tga c_province0816.tga
c_karuq.tga k_kingdom0717.tga
c_karutai.tga d_duchy0688.tga
c_karuti.tga c_province0659.tga
c_karyuk.tga c_province0679.tga
c_kasad.tga c_province0721.tga
c_kasavid.tga c_province0688.tga
c_kaserzad.tga d_duchy0716.tga
c_kasew.tga c_province0686.tga
c_kasia.tga c_province0738.tga
c_kasilay.tga c_province0716.tga
c_kasion.tga d_duchy0742.tga
c_kasonda.tga c_province0708.tga
c_kasukar.tga c_province0727.tga
c_kasuluk.tga c_province0742.tga
c_kasyeju.tga d_duchy0763.tga
c_kata.tga c_province0735.tga
c_katasa.tga c_province0770.tga
c_kateka.tga c_province0776.tga
c_katha.tga c_province0791.tga
c_kathekko.tga c_province0763.tga
c_katong.tga d_duchy0717.tga
c_kaubeph.tga c_province0684.tga
c_kaudlan.tga c_province0754.tga
c_kaufati.tga c_province0717.tga
c_kaulara.tga e_empire0750.tga
c_kaulirek.tga k_kingdom0669.tga
c_kaumava.tga d_duchy0648.tga
c_kautiat.tga c_province0629.tga
c_kava.tga c_province0643.tga
c_kavaha.tga c_province0656.tga
c_kavaham.tga c_province0677.tga
c_kavanca.tga c_province0648.tga
c_kavion.tga d_duchy0701.tga
c_kavipa.tga c_province0668.tga
c_kavohn.tga c_province0701.tga
c_kawand.tga d_duchy0734.tga
c_kawayor.tga c_province0719.tga
c_kaxaret.tga c_province0757.tga
c_kaxira.tga c_province0761.tga
c_kaya.tga c_province0734.tga
c_kayabos.tga d_duchy0759.tga
c_kayafu.tga c_province0723.tga
c_kayang.tga c_province0759.tga
c_kaydam.tga d_duchy0803.tga
c_kayduna.tga c_province0780.tga
c_kaymama.tga c_province0796.tga
c_kaymele.tga c_province0802.tga
c_kayoll.tga c_province0803.tga
c_kayyubt.tga d_duchy0849.tga
c_kazara.tga c_province0838.tga
c_kazimon.tga c_province0850.tga
c_kazyula.tga c_province0849.tga
c_keajit.tga d_duchy0669.tga
c_keana.tga c_province0651.tga
c_keaney.tga c_province0692.tga
c_keansa.tga c_province0669.tga
c_keba.tga k_kingdom0750.tga
c_kebish.tga d_duchy0713.tga
c_kebourou.tga c_province0698.tga
c_kebozar.tga c_province0744.tga
c_keceka.tga c_province0713.tga
c_kecumna.tga d_duchy0778.tga
c_kedenda.tga c_province0762.tga
c_kedous.tga c_province0781.tga
c_kedugo.tga c_province0806.tga
c_keer.tga c_province0807.tga
c_keetdat.tga c_province0778.tga
c_kega.tga d_duchy0750.tga
c_kegeru.tga c_province0726.tga
c_kehamm.tga c_province0782.tga
c_kehaul.tga c_province0750.tga
c_kehelo.tga e_empire0786.tga
c_kehosai.tga k_kingdom0705.tga
c_keireer.tga d_duchy0657.tga
c_keis.tga c_province0630.tga
c_kekarak.tga c_province0637.tga
c_kekima.tga c_province0640.tga
c_kekouhi.tga c_province0663.tga
c_kelerro.tga c_province0657.tga
c_keleth.tga d_duchy0685.tga
c_kelew.tga c_province0673.tga
c_keleytn.tga c_province0697.tga
c_kelieter.tga c_province0714.tga
c_kella.tga c_province0685.tga
c_kelolam.tga d_duchy0741.tga
c_keludan.tga c_province0724.tga
c_keluo.tga c_province0749.tga
c_kelura.tga c_province0769.tga
c_kemantia.tga c_province0741.tga
c_kemath.tga d_duchy0705.tga
c_kemian.tga c_province0687.tga
c_keminda.tga c_province0705.tga
c_kemying.tga k_kingdom0786.tga
c_kemyuan.tga d_duchy0732.tga
c_kena.tga c_province0722.tga
c_kenalih.tga c_province0732.tga
c_keneba.tga d_duchy0784.tga
c_keneram.tga c_province0760.tga
c_kenes.tga c_province0767.tga
c_keneth.tga c_province0805.tga
c_kenipaz.tga c_province0784.tga
c_kenoise.tga d_duchy0810.tga
c_kentiy.tga c_province0790.tga
c_kenusi.tga c_province0810.tga
c_keocurd.tga d_duchy0835.tga
c_keojan.tga c_province0812.tga
c_keom.tga c_province0825.tga
c_keomeus.tga c_province0853.tga
c_keparcia.tga c_province0859.tga
c_kerahtu.tga c_province0835.tga
c_kerair.tga d_duchy0786.tga
c_kerand.tga c_province0766.tga
c_kerasia.tga c_province0786.tga
c_kerefie.tga e_empire0836.tga
c_kerergun.tga k_kingdom0740.tga
c_kerina.tga d_duchy0664.tga
c_keritya.tga c_province0649.tga
c_keriyah.tga c_province0664.tga
c_kermanie.tga d_duchy0751.tga
c_kerule.tga c_province0720.tga
c_kesarma.tga c_province0787.tga
c_kesate.tga c_province0751.tga
c_kesh.tga d_duchy0792.tga
c_ketabba.tga c_province0765.tga
c_keted.tga c_province0783.tga
c_keting.tga c_province0792.tga
c_keulami.tga d_duchy0740.tga
c_keunda.tga c_province0718.tga
c_keupawud.tga c_province0740.tga
c_keupeta.tga k_kingdom0836.tga
c_kevan.tga d_duchy0827.tga
c_kevas.tga c_province0808.tga
c_kevire.tga c_province0845.tga
c_kevovai.tga c_province0827.tga
c_kevur.tga d_duchy0836.tga
c_kewar.tga c_province0817.tga
c_kexuslo.tga c_province0854.tga
c_kiara.tga c_province0873.tga
c_kibahar.tga c_province0836.tga
c_kibanna.tga e_empire0897.tga
c_kibatta.tga k_kingdom0821.tga
c_kibena.tga d_duchy0800.tga
c_kibew.tga c_islamabad.tga
c_kibine.tga c_province0788.tga
c_kibinie.tga c_province0801.tga
c_kibuji.tga c_province0800.tga
c_kicida.tga d_duchy0840.tga
c_kicou.tga c_mumbai.tga
c_kida.tga c_province0840.tga
c_kiegosz.tga d_duchy0866.tga
c_kieleka.tga c_province0856.tga
c_kieloa.tga c_province0869.tga
c_kifint.tga c_province0887.tga
c_kifyula.tga c_province0866.tga
c_kijipac.tga d_duchy0874.tga
c_kijudah.tga c_province0861.tga
c_kijus.tga c_province0883.tga
c_kikandi.tga c_province0886.tga
c_kiket.tga c_province0874.tga
c_kikoj.tga d_sri_lanka.tga
c_kilaya.tga c_province0900.tga
c_kileusz.tga c_sri_lanka.tga
c_kilewar.tga d_duchy0821.tga
c_kiludo.tga c_province0804.tga
c_kilyana.tga c_province0824.tga
c_kimaha.tga c_province0846.tga
c_kimaksa.tga c_province0821.tga
c_kimala.tga k_kingdom0880.tga
c_kimaus.tga d_duchy0878.tga
c_kimeir.tga c_province0863.tga
c_kinanda.tga c_province0864.tga
c_kinandi.tga c_province0895.tga
c_kinapal.tga c_province0878.tga
c_kinatta.tga d_duchy0880.tga
c_kineco.tga c_province0868.tga
c_kinegin.tga c_province0894.tga
c_king.tga c_province0880.tga
c_kinidis.tga k_kingdom0930.tga
c_kininu.tga d_duchy0908.tga
c_kinipa.tga c_province0907.tga
c_kinnam.tga c_province0908.tga
c_kinnunes.tga d_duchy0918.tga
c_kinomir.tga c_province0905.tga
c_kintis.tga c_province0918.tga
c_kiperzad.tga d_duchy0927.tga
c_kiraham.tga c_province0909.tga
c_kiriala.tga c_province0931.tga
c_kirocic.tga c_province0927.tga
c_kisaac.tga d_duchy0941.tga
c_kisarbai.tga c_bangkok.tga
c_kisari.tga c_province0944.tga
c_kisasin.tga c_province0941.tga
c_kisipaz.tga d_duchy0930.tga
c_kisodis.tga c_province0921.tga
c_kisune.tga c_province0932.tga
c_kisusbu.tga c_province0936.tga
c_kisuslo.tga c_province0930.tga
c_kitarak.tga k_kingdom0897.tga
c_kitiisa.tga d_duchy0876.tga
c_kivalotl.tga c_province0870.tga
c_kivana.tga c_province0882.tga
c_kivude.tga c_province0892.tga
c_kizarun.tga c_province0876.tga
c_kizida.tga d_duchy0913.tga
c_kizuda.tga c_province0903.tga
c_kizudo.tga c_province0913.tga
c_kizuigi.tga d_duchy0897.tga
c_kizulan.tga c_province0881.tga
c_kobanga.tga c_province0897.tga
c_kobaram.tga e_empire0935.tga
c_kobard.tga k_kingdom0935.tga
c_kobathi.tga d_duchy0935.tga
c_kobawa.tga c_province0935.tga
c_kobenia.tga e_empire0953.tga
c_kobuti.tga k_kingdom0837.tga
c_kocarid.tga d_duchy0829.tga
c_kodaod.tga c_province0813.tga
c_kodeer.tga c_province0833.tga
c_kodeike.tga c_province0851.tga
c_kodena.tga c_province0829.tga
c_kodeter.tga d_duchy0848.tga
c_kodew.tga c_province0818.tga
c_kodian.tga c_province0842.tga
c_kodima.tga c_province0857.tga
c_kodinaj.tga c_province0867.tga
c_kodona.tga c_province0848.tga
c_kodulun.tga d_duchy0858.tga
c_kofyuk.tga c_province0831.tga
c_kogaham.tga c_province0858.tga
c_kogeda.tga d_duchy0875.tga
c_kogenna.tga c_province0862.tga
c_kogiam.tga c_province0875.tga
c_kogund.tga d_duchy0879.tga
c_kohajit.tga c_province0871.tga
c_kohas.tga c_province0899.tga
c_kohassi.tga c_province0879.tga
c_koheka.tga d_dioxide.tga
c_kohele.tga c_province0860.tga
c_kohiami.tga c_province0890.tga
c_kohila.tga c_province0901.tga
c_kohing.tga c_dioxide.tga
c_kohork.tga d_duchy0893.tga
c_koja.tga c_province0891.tga
c_kojara.tga c_province0893.tga
c_kojeba.tga d_duchy0898.tga
c_kojeka.tga c_province0877.tga
c_kojinat.tga c_province0898.tga
c_kokong.tga d_duchy0916.tga
c_kolaida.tga c_province0896.tga
c_kolas.tga c_province0911.tga
c_kolaya.tga c_province0925.tga
c_koloj.tga c_province0916.tga
c_kolon.tga d_duchy0919.tga
c_koloul.tga c_province0906.tga
c_kolukpo.tga c_province0920.tga
c_konenes.tga c_province0919.tga
c_konimon.tga d_duchy0837.tga
c_konne.tga c_province0819.tga
c_konyula.tga c_province0832.tga
c_kopata.tga c_province0855.tga
c_koqomez.tga c_province0837.tga
c_koragha.tga k_kingdom0928.tga
c_korail.tga d_duchy0889.tga
c_koraimur.tga c_province0885.tga
c_korajid.tga c_province0912.tga
c_korakh.tga c_province0889.tga
c_koraria.tga d_duchy0928.tga
c_koraud.tga c_province0904.tga
c_korawfiq.tga c_province0914.tga
c_korazi.tga c_province0922.tga
c_korerre.tga c_province0928.tga
c_korert.tga k_kingdom0942.tga
c_korohn.tga d_duchy0923.tga
c_korort.tga c_province0902.tga
c_korosai.tga c_province0915.tga
c_koruisa.tga c_province0924.tga
c_koruna.tga c_province0923.tga
c_kory.tga d_duchy0926.tga
c_kosari.tga c_province0910.tga
c_kosava.tga c_province0934.tga
c_koseth.tga c_province0926.tga
c_koshel.tga d_duchy0940.tga
c_kosita.tga c_province0938.tga
c_kosora.tga c_province0940.tga
c_koste.tga d_duchy0950.tga
c_kosz.tga c_province0949.tga
c_kotama.tga c_province0959.tga
c_kotanjor.tga c_province0950.tga
c_kotaod.tga d_duchy0942.tga
c_kotara.tga c_province0937.tga
c_koto.tga c_province0948.tga
c_kotonas.tga c_province0958.tga
c_kotoses.tga c_province0942.tga
c_kotujri.tga k_kingdom0990.tga
c_kotyka.tga d_duchy0969.tga
c_koumike.tga c_province0961.tga
c_kozar.tga c_province0966.tga
c_kuanva.tga c_province0972.tga
c_kuarani.tga c_province0979.tga
c_kubacob.tga c_province0969.tga
c_kubanya.tga d_duchy0971.tga
c_kubasin.tga c_province0962.tga
c_kubaul.tga c_province0980.tga
c_kuberim.tga c_province0984.tga
c_kubevit.tga c_province0971.tga
c_kubofia.tga d_duchy1000.tga
c_kucho.tga c_province0986.tga
c_kucipac.tga c_province0991.tga
c_kudak.tga c_province1001.tga
c_kudan.tga c_province1009.tga
c_kudegin.tga c_province1000.tga
c_kudidia.tga d_duchy1002.tga
c_kudiera.tga c_province0995.tga
c_kuditula.tga c_province1008.tga
c_kudoke.tga c_province1002.tga
c_kudyad.tga d_duchy1017.tga
c_kufoj.tga c_province1013.tga
c_kufozar.tga c_province1017.tga
c_kuili.tga d_duchy1019.tga
c_kuin.tga c_province1010.tga
c_kukahtu.tga c_province1033.tga
c_kukath.tga c_province1019.tga
c_kulay.tga d_duchy1020.tga
c_kulian.tga c_province1011.tga
c_kulisce.tga c_province1027.tga
c_kumach.tga c_province1020.tga
c_kumann.tga d_duchy1031.tga
c_kumaod.tga c_province1024.tga
c_kumaret.tga c_province1026.tga
c_kumetar.tga c_province1031.tga
c_kumida.tga d_duchy0990.tga
c_kumine.tga c_province0977.tga
c_kumoras.tga c_province0998.tga
c_kumoura.tga c_province0999.tga
c_kumuko.tga c_province0990.tga
c_kunaha.tga k_kingdom1053.tga
c_kunahad.tga d_duchy1045.tga
c_kunanka.tga c_province1035.tga
c_kupine.tga c_province1051.tga
c_kuraksa.tga c_province1045.tga
c_kurema.tga d_duchy1046.tga
c_kurtai.tga c_province1032.tga
c_kurya.tga c_province1041.tga
c_kusory.tga c_province1046.tga
c_kutato.tga d_duchy1048.tga
c_kutawtus.tga c_province1044.tga
c_kutonse.tga c_province1048.tga
c_kuwarde.tga d_duchy1052.tga
c_kuwe.tga c_province1039.tga
c_kya.tga c_province1040.tga
c_kyaa.tga c_province1067.tga
c_kyaad.tga c_province1052.tga
c_kyaca.tga d_duchy1068.tga
c_kyakt.tga c_province1061.tga
c_kyaqul.tga c_province1071.tga
c_kyasika.tga c_province1068.tga
c_kyaytok.tga d_duchy1074.tga
c_kyayuo.tga c_province1059.tga
c_kyee.tga c_province1082.tga
c_kyeju.tga c_province1074.tga
c_kyer.tga d_duchy1077.tga
c_kying.tga c_province1062.tga
c_kyoi.tga c_province1063.tga
c_kyousa.tga c_province1077.tga
c_kyua.tga d_duchy1088.tga
c_kyupo.tga c_province1076.tga
c_kyuvatun.tga c_province1084.tga
c_kyuvoljo.tga c_province1088.tga
c_kyyana.tga d_duchy1093.tga
c_laarilii.tga c_province1080.tga
c_labdina.tga c_province1091.tga
c_labdisii.tga c_province1093.tga
c_lacaka.tga d_duchy1101.tga
c_lacarid.tga c_province1085.tga
c_lacoan.tga c_province1103.tga
c_lacya.tga c_province1116.tga
c_ladanka.tga c_province1101.tga
c_ladejda.tga d_duchy1104.tga
c_ladeloan.tga c_province1092.tga
c_ladew.tga c_province1110.tga
c_ladiran.tga c_province1104.tga
c_ladosz.tga d_duchy1106.tga
c_lagand.tga c_province1094.tga
c_lagarna.tga c_province1112.tga
c_lagita.tga c_province1106.tga
c_lagoriy.tga d_duchy1117.tga
c_lahine.tga c_province1096.tga
c_lahipa.tga c_province1105.tga
c_lahucha.tga c_province1130.tga
c_lahyan.tga c_province1117.tga
c_laiida.tga d_duchy1133.tga
c_laiija.tga c_province1119.tga
c_lajaicu.tga c_province1125.tga
c_lajata.tga c_province1147.tga
c_lajoda.tga c_province1133.tga
c_lajory.tga d_duchy1135.tga
c_lakawuj.tga c_province1123.tga
c_lakisa.tga c_province1141.tga
c_lakobos.tga c_province1142.tga
c_lakoka.tga c_province1150.tga
c_lalaad.tga c_province1135.tga
c_lalabha.tga d_duchy1159.tga
